ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,_col.None
ArifamaMiniafia,Arifama-Miniafia,,,,arif1239,,
Ankave,Ankave,,,,anka1246,,
Abau,Abau,,,,abau1245,,
Amarasi,Amarasi,,,,amar1273,,
AbenlenAyta,Abenlen Ayta,,,,aben1249,,
Ambulas-Maprik,Ambulas,,,,ambu1247,,
Ambulas-WoseraKamu,Ambulas,,,,ambu1247,,
Inabaknon,Inabaknon,,,,inab1237,,
AnemeWake,Aneme Wake,,,,anem1248,,
Achagua,Achagua,,,,acha1250,,
Gikyode,Gikyode,,,,giky1238,,
SaintLucianCreoleFrench,Saint Lucian Creole French,,,,sain1246,,
Achi-Cubulco,Achi,,,,achi1256,,
Achi-Rabinal,Achi,,,,achi1256,,
AchuarShiwiar,Achuar-Shiwiar,,,,achu1248,,
Adioukrou,Adioukrou,,,,adio1239,,
Adnyamathanha,Adnyamathanha,,,,adny1235,,
Adzera,Adzera,,,,adze1240,,
TunisianArabic,Tunisian Arabic,,,,tuni1259,,
EasternArrernte,Eastern Arrernte,,,,east2379,,
Akeu,Akeu,,,,akeu1235,,
Amele,Amele,,,,amel1241,,
Agarabi,Agarabi,,,,agar1252,,
Angor,Angor,,,,ango1254,,
Angaataha,Angaataha,,,,anga1290,,
Agutaynen,Agutaynen,,,,agut1237,,
Aguaruna,Aguaruna,,,,agua1253,,
CentralCagayanAgta,Central Cagayan Agta,,,,cent2084,,
Aguacateco,Aguacateco,,,,agua1252,,
Ahirani,Ahirani,,,,ahir1243,,
Arosi,Arosi,,,,aros1241,,
AssyrianNeoAramaic,Assyrian Neo-Aramaic,,,,assy1241,,
Akan-Asante,Akan,,,,akan1250,,
AkawaioIngariko,Akawaio-Ingariko,,,,akaw1239,,
AngalHeneng-Waola,Angal Heneng,,,,anga1292,,
Siwu,Siwu,,,,siwu1238,,
Alawa,Alawa,,,,alaw1244,,
Alune,Alune,,,,alun1238,,
Algonquin,Algonquin,,,,algo1255,,
NorthernToskAlbanian,Northern Tosk Albanian,,,,tosk1239,,
Alyawarr,Alyawarr,,,,alya1239,,
Yanesha,Yanesha',,,,yane1238,,
HamerBanna,Hamer-Banna,,,,hame1242,,
Amharic,Amharic,,,,amha1245,,
Ambai,Ambai,,,,amba1265,,
AmaPapuaNewGuinea,Ama (Papua New Guinea),,,,amap1240,,
Amanab-Amanab,Amanab,,,,aman1265,,
Amanab-Naineri,Amanab,,,,aman1265,,
Amo,Amo,,,,amoo1242,,
Alamblak,Alamblak,,,,alam1246,,
Amarakaeri,Amarakaeri,,,,amar1274,,
GuerreroAmuzgo,Guerrero Amuzgo,,,,guer1243,,
Anmatyerre,Anmatyerre,,,,anma1239,,
Nend,Nend,,,,nend1239,,
Denya,Denya,,,,deny1238,,
Anyin,Anyin,,,,anyi1245,,
Anindilyakwa,Anindilyakwa,,,,anin1240,,
Mufian-FilifitaorIlahita,Mufian,,,,mufi1238,,
Mufian-Mufian,Mufian,,,,mufi1238,,
Omie,Ömie,,,,omie1241,,
BumbitaArapesh-Central,Bumbita Arapesh,,,,bumb1241,,
Saa,Sa'a,,,,saaa1240,,
Bukiyip-MountainArapesh,Bukiyip,,,,buki1249,,
Bukiyip-Central,Bukiyip,,,,buki1249,,
Apinaye,Apinayé,,,,apin1244,,
Apma,Apma,,,,apma1240,,
AropLokep-Arop,Arop-Lokep,,,,arop1243,,
Apurina,Apurinã,,,,apur1254,,
WesternApache,Western Apache,,,,west2615,,
Apalai,Apalaí,,,,apal1257,,
Safeyoka,Safeyoka,,,,safe1240,,
StandardArabic-standard,Standard Arabic,,,,stan1318,,
StandardArabic,Standard Arabic,,,,stan1318,,
StandardArabic-Standard,Standard Arabic,,,,stan1318,,
WesternArrarnta,Western Arrarnta,,,,west2441,,
Arabela,Arabela,,,,arab1268,,
Mapudungun,Mapudungun,,,,mapu1245,,
Arapaho,Arapaho,,,,arap1274,,
