ID	Name\HasVariant	Glottocode	Family	ISO639P3Code	PRONTO
auhelawa	'Auhelawa		auhe1237	Austronesian	kud	https://drive.google.com/file/d/1RXMkRDIU1m58cyABpKtBqujmDDrx4M4a/view?usp=share_link
abau	Abau		abau1245	Sepik	aau	https://drive.google.com/file/d/143rhvU3UII4T9918QXdR2TvUp9caAwR6/view?usp=share_link
achi	Achi		achi1256	Mayan	acr	https://drive.google.com/file/d/1GnaQpSYFu6mONYptivrpZiGdHz6NIXUS/view?usp=share_link
achi1	Achi	1	achi1256	Mayan	acr	https://drive.google.com/file/d/141TIqk2Lt0z8bcawqcsHTCN_fQVblW-0/view?usp=share_link
achi1	Achi	1	achi1256	Mayan	acr	https://drive.google.com/file/d/1Ge3IbEe3IjOhMWEsSMozy23x1myWowXB/view?usp=share_link
achuarshiwiar	Achuar-Shiwiar		achu1248	Chicham	acu	https://drive.google.com/file/d/1kHYzlhC0cbPjMUSIxVAoOY0Geri3N-sN/view?usp=share_link
adzera	Adzera		adze1240	Austronesian	adz	https://drive.google.com/file/d/1SlrC-szi-RiVxMW725WDGDoFH9aEiHjx/view?usp=share_link
agarabi	Agarabi		agar1252	Nuclear Trans New Guinea	agd	https://drive.google.com/file/d/1NSo2n-R3d-2ZRzMGxsvtxlKY4NgQUJHU/view?usp=share_link
casigurannagtipunanagta	Casiguran-Nagtipunan Agta		casi1235	Austronesian	dgc	https://drive.google.com/file/d/1YelgqoyxOfr7N8c8O5AhDMXAgZXK9e2M/view?usp=share_link
centralcagayanagta	Central Cagayan Agta		cent2084	Austronesian	agt	https://drive.google.com/file/d/10ka36-uvQW524_pWcGvrDLE-8xf_ao0I/view?usp=share_link
aguacateco	Aguacateco		agua1252	Mayan	agu	https://drive.google.com/file/d/1cL3OvMnkWqCCKr6Tfb6HDqs2SDWvlzfn/view?usp=share_link
aguaruna	Aguaruna		agua1253	Chicham	agr	https://drive.google.com/file/d/1lq_YvqajLLWB8D4BK6RAukWSvbo4AhIS/view?usp=share_link
agutaynen	Agutaynen		agut1237	Austronesian	agn	https://drive.google.com/file/d/1g6aTQPnJJsw_vc7c81HVkpju-3ZIjwFh/view?usp=share_link
ahirani	Ahirani		ahir1243	Bookkeeping	ahr	https://drive.google.com/file/d/1AXxieiynYhm4DCfYbqcP3Ne2M_2TkeD6/view?usp=share_link
ajyininkaapurucayali	Ajyíninka Apurucayali		ajyi1238	Arawakan	cpc	https://drive.google.com/file/d/1A5rTFul4_qCRJlrcfxGblmd2Oa8yBq48/view?usp=share_link
akateko	Akateko		west2635	Mayan	knj	https://drive.google.com/file/d/1MGnIZMMMZatr77m_Gbo9tXoMJfRVyvze/view?usp=share_link
